category,bathrooms,bedrooms,has_photo,price,price_display,price_type,square_feet,cityname,state,latitude,longitude,time
housing/rent/apartment,1.0,1.0,Thumbnail,450,450,Monthly,200,Phoenix,AZ,335178.0,-1120848.0,1577015539
housing/rent/apartment,1.0,1.0,Thumbnail,750,750,Monthly,215,Riverview,FL,278492.0,-823155.0,1577015260
housing/rent/apartment,1.0,1.0,Thumbnail,2000,2,Monthly,219,Lafayette,AL,328956.0,-854351.0,1577359217
housing/rent/apartment,1.0,1.0,Thumbnail,1400,1.4,Monthly,219,San Francisco,CA,377599.0,-1224379.0,1577359209
housing/rent/apartment,1.0,1.0,Thumbnail,1095,1.095,Monthly,219,Glen Burnie,MD,391634.0,-766165.0,1577359234
housing/rent/apartment,1.0,1.0,Thumbnail,915,915,Monthly,219,Littleton,CO,395816.0,-1050387.0,1577015007
housing/rent/apartment,1.0,1.0,Thumbnail,900,900,Monthly,219,Waldorf,MD,386210.0,-769225.0,1577015319
housing/rent/apartment,1.0,1.0,Thumbnail,865,865,Monthly,219,Riverview,FL,278492.0,-823155.0,1577015248
housing/rent/apartment,1.0,1.0,Thumbnail,725,725,Monthly,219,Aurora,CO,396828.0,-1048078.0,1577014995
housing/rent/apartment,1.0,1.0,Thumbnail,650,650,Monthly,219,Manassas,VA,387418.0,-774684.0,1577359248
housing/rent/apartment,1.0,1.0,Thumbnail,650,650,Monthly,219,Decatur,GA,337416.0,-842614.0,1577015182
housing/rent/apartment,1.0,1.0,Thumbnail,645,645,Monthly,219,Tampa,FL,280076.0,-824792.0,1577359235
housing/rent/apartment,1.0,1.0,Thumbnail,595,595,Monthly,219,Albuquerque,NM,351038.0,-1066110.0,1577359326
housing/rent/apartment,1.0,0.0,Thumbnail,1195,1.195,Monthly,223,Seattle,WA,476160.0,-1223275.0,1577359975
housing/rent/apartment,1.0,0.0,Thumbnail,1150,1.15,Monthly,225,Seattle,WA,476160.0,-1223275.0,1577360412
housing/rent/apartment,1.0,1.0,Thumbnail,942,942,Monthly,225,Chicago,IL,418625.0,-876825.0,1577359301
housing/rent/apartment,1.0,0.0,Thumbnail,1250,1.25,Monthly,228,Seattle,WA,476160.0,-1223275.0,1577360296
housing/rent/apartment,1.0,1.0,Thumbnail,800,800,Monthly,230,Gastonia,NC,352240.0,-811809.0,1576666501
housing/rent/apartment,1.0,1.0,Thumbnail,685,685,Monthly,230,Wimauma,FL,277011.0,-823178.0,1577015249
housing/rent/apartment,1.0,1.0,Thumbnail,525,525,Monthly,230,Memphis,TN,351211.0,-899517.0,1577359551
housing/rent/apartment,1.0,0.0,Thumbnail,1095,1.095,Monthly,231,Seattle,WA,476160.0,-1223275.0,1577360334
housing/rent/apartment,1.0,0.0,Thumbnail,1695,1.695,Monthly,232,San Francisco,CA,377599.0,-1224379.0,1577358464
housing/rent/apartment,1.0,0.0,Thumbnail,990,990,Monthly,239,Washington,DC,389118.0,-770132.0,1577359411
housing/rent/apartment,1.0,1.0,Thumbnail,775,775,Monthly,240,Bellingham,WA,487871.0,-1224437.0,1577360135
housing/rent/apartment,1.0,0.0,Thumbnail,1299,1.299,Monthly,243,Seattle,WA,476160.0,-1223275.0,1577359586
housing/rent/apartment,1.0,1.0,Thumbnail,705,705,Monthly,245,Anchorage,AK,611723.0,-1498414.0,1577359000
housing/rent/apartment,1.0,1.0,Thumbnail,1800,1.8,Monthly,250,Pacifica,CA,376019.0,-1224863.0,1577015133
housing/rent/apartment,1.0,1.0,Thumbnail,1600,1.6,Monthly,250,Marina Del Rey,CA,339855.0,-1184532.0,1576322048
housing/rent/apartment,1.0,1.0,Thumbnail,1500,1.5,Monthly,250,San Francisco,CA,377599.0,-1224379.0,1577359213
housing/rent/apartment,1.0,1.0,Thumbnail,1330,1.33,Monthly,250,Studio City,CA,341450.0,-1183898.0,1577015755
housing/rent/apartment,1.0,1.0,Thumbnail,1310,1.31,Monthly,250,Moorpark,CA,342805.0,-1188861.0,1577359152
housing/rent/apartment,1.0,1.0,Thumbnail,1300,1.3,Monthly,250,Torrance,CA,338363.0,-1183330.0,1577015787
housing/rent/apartment,1.0,1.0,Thumbnail,1295,1.295,Monthly,250,Sacramento,CA,385587.0,-1214320.0,1577014892
housing/rent/apartment,1.0,1.0,Thumbnail,1255,1.255,Monthly,250,Lake Balboa,CA,342017.0,-1184920.0,1576322123
housing/rent/apartment,1.0,1.0,Thumbnail,1250,1.25,Monthly,250,Seattle,WA,476160.0,-1223275.0,1577015295
housing/rent/apartment,1.0,1.0,Thumbnail,1250,1.25,Monthly,250,North Hollywood,CA,341881.0,-1183905.0,1575976767
housing/rent/apartment,1.0,1.0,Thumbnail,1200,1.2,Monthly,250,Denver,CO,397360.0,-1049819.0,1577015008
housing/rent/apartment,1.0,1.0,Thumbnail,1200,1.2,Monthly,250,Aurora,CO,396828.0,-1048078.0,1577015098
housing/rent/apartment,1.0,1.0,Thumbnail,1175,1.175,Monthly,250,Brentwood,CA,379353.0,-1216935.0,1577359008
housing/rent/apartment,1.0,1.0,Thumbnail,1155,1.155,Monthly,250,San Rafael,CA,379917.0,-1225247.0,1577015122
housing/rent/apartment,1.0,1.0,Thumbnail,1150,1.15,Monthly,250,North Potomac,MD,391088.0,-772384.0,1577015215
housing/rent/apartment,1.0,1.0,Thumbnail,1145,1.145,Monthly,250,Andover,MA,426484.0,-711615.0,1577359272
housing/rent/apartment,1.0,1.0,Thumbnail,1135,1.135,Monthly,250,Oakland,CA,377904.0,-1222151.0,1577359210
housing/rent/apartment,1.0,1.0,Thumbnail,1115,1.115,Monthly,250,San Pablo,CA,379724.0,-1223304.0,1577359208
housing/rent/apartment,1.0,0.0,Thumbnail,1095,1.095,Monthly,250,Chicago,IL,418625.0,-876825.0,1577016975
housing/rent/apartment,1.0,1.0,Thumbnail,1090,1.09,Monthly,250,Alexandria,VA,387999.0,-771072.0,1577359248
housing/rent/apartment,1.0,1.0,Thumbnail,1075,1.075,Monthly,250,Chicago,IL,418625.0,-876825.0,1577015605
housing/rent/apartment,1.0,1.0,Thumbnail,1050,1.05,Monthly,250,Thousand Oaks,CA,342009.0,-1188636.0,1577359156
housing/rent/apartment,1.0,1.0,Thumbnail,1050,1.05,Monthly,250,Denver,CO,397360.0,-1049819.0,1577359188
housing/rent/apartment,1.0,1.0,Thumbnail,1045,1.045,Monthly,250,Burke,VA,387860.0,-772858.0,1577015325
housing/rent/apartment,1.0,1.0,Thumbnail,1025,1.025,Monthly,250,Bellevue,WA,475988.0,-1221507.0,1577359245
housing/rent/apartment,1.0,1.0,Thumbnail,1005,1.005,Monthly,250,Wilton,CA,383918.0,-1212234.0,1577014891
housing/rent/apartment,1.0,1.0,Thumbnail,1000,1,Monthly,250,Woodland Hills,CA,341677.0,-1186141.0,1577359157
housing/rent/apartment,1.0,1.0,Thumbnail,1000,1,Monthly,250,Miami,FL,257603.0,-803005.0,1577359231
housing/rent/apartment,1.0,1.0,Thumbnail,1000,1,Monthly,250,Hyattsville,MD,389633.0,-769375.0,1577359233
housing/rent/apartment,1.0,1.0,Thumbnail,1000,1,Monthly,250,Westminster,CO,398644.0,-1050454.0,1577015098
housing/rent/apartment,1.0,1.0,Thumbnail,1000,1,Monthly,250,Aurora,CO,396828.0,-1048078.0,1577015002
housing/rent/apartment,1.0,1.0,Thumbnail,1000,1,Monthly,250,Arvada,CO,398228.0,-1051107.0,1577015097
housing/rent/apartment,1.0,1.0,Thumbnail,1000,1,Monthly,250,Seal Beach,CA,337606.0,-1180806.0,1576666443
housing/rent/apartment,1.0,1.0,Thumbnail,975,975,Monthly,250,San Marcos,CA,331463.0,-1171694.0,1577359240
housing/rent/apartment,1.0,1.0,Thumbnail,965,965,Monthly,250,Medford Lakes,NJ,398587.0,-748101.0,1577015665
housing/rent/apartment,1.0,1.0,Thumbnail,955,955,Monthly,250,Glen Burnie,MD,391634.0,-766165.0,1577359262
housing/rent/apartment,1.0,1.0,Thumbnail,950,950,Monthly,250,Littleton,CO,395816.0,-1050387.0,1577015096
housing/rent/apartment,1.0,1.0,Thumbnail,950,950,Monthly,250,Aurora,CO,396828.0,-1048078.0,1577015098
housing/rent/apartment,1.0,1.0,Thumbnail,930,930,Monthly,250,Concord,CA,379682.0,-1220091.0,1577015146
housing/rent/apartment,1.0,1.0,Thumbnail,925,925,Monthly,250,Lafayette,CO,399999.0,-1050993.0,1577358925
housing/rent/apartment,1.0,1.0,Thumbnail,925,925,Monthly,250,Chula Vista,CA,326197.0,-1170226.0,1577015266
housing/rent/apartment,1.0,1.0,Thumbnail,925,925,Monthly,250,Glen Burnie,MD,391634.0,-766165.0,1577015099
housing/rent/apartment,1.0,1.0,Thumbnail,915,915,Monthly,250,Highlands Ranch,CO,395516.0,-1049690.0,1577358488
housing/rent/apartment,1.0,1.0,Thumbnail,900,900,Monthly,250,Laurel,MD,390976.0,-768614.0,1577359251
housing/rent/apartment,1.0,1.0,Thumbnail,900,900,Monthly,250,Orlando,FL,285163.0,-813644.0,1577359122
housing/rent/apartment,1.0,1.0,Thumbnail,900,900,Monthly,250,Boulder,CO,400213.0,-1052552.0,1577358924
housing/rent/apartment,1.0,1.0,Thumbnail,900,900,Monthly,250,Aurora,CO,396828.0,-1048078.0,1577015097
housing/rent/apartment,1.0,1.0,Thumbnail,900,900,Monthly,250,La Puente,CA,340291.0,-1179457.0,1576666494
housing/rent/apartment,1.0,1.0,Thumbnail,900,900,Monthly,250,Anaheim,CA,338323.0,-1179079.0,1575976769
housing/rent/apartment,1.0,1.0,Thumbnail,895,895,Monthly,250,Commerce City,CO,398312.0,-1048942.0,1577015009
housing/rent/apartment,1.0,1.0,Thumbnail,895,895,Monthly,250,Arvada,CO,398228.0,-1051107.0,1577015097
housing/rent/apartment,1.0,1.0,Thumbnail,875,875,Monthly,250,Arlington,VA,388738.0,-771055.0,1577015322
housing/rent/apartment,1.0,1.0,Thumbnail,865,865,Monthly,250,Naples,FL,261806.0,-817257.0,1577358931
housing/rent/apartment,1.0,1.0,Thumbnail,865,865,Monthly,250,Atlanta,GA,337848.0,-843922.0,1577359222
housing/rent/apartment,1.0,1.0,Thumbnail,860,860,Monthly,250,Sarasota,FL,273181.0,-824987.0,1577359138
housing/rent/apartment,1.0,1.0,Thumbnail,855,855,Monthly,250,Aurora,CO,396828.0,-1048078.0,1577359190
housing/rent/apartment,1.0,1.0,Thumbnail,850,850,Monthly,250,Lorton,VA,386900.0,-772065.0,1577359251
housing/rent/apartment,1.0,1.0,Thumbnail,850,850,Monthly,250,Fort Lupton,CO,400994.0,-1048079.0,1577358918
housing/rent/apartment,1.0,1.0,Thumbnail,850,850,Monthly,250,Woodbridge,VA,386487.0,-773152.0,1577359250
housing/rent/apartment,1.0,1.0,Thumbnail,850,850,Monthly,250,Nashville,TN,361370.0,-867830.0,1577359107
housing/rent/apartment,1.0,1.0,Thumbnail,850,850,Monthly,250,Saint Petersburg,FL,277873.0,-826772.0,1577015259
housing/rent/apartment,1.0,1.0,Thumbnail,850,850,Monthly,250,Portland,OR,455091.0,-1226449.0,1577014971
housing/rent/apartment,1.0,1.0,Thumbnail,825,825,Monthly,250,Joppa,MD,394324.0,-763552.0,1577015366
housing/rent/apartment,1.0,1.0,Thumbnail,805,805,Monthly,250,Atlanta,GA,337848.0,-843922.0,1577359229
housing/rent/apartment,1.0,1.0,Thumbnail,800,800,Monthly,250,Broomfield,CO,399156.0,-1050876.0,1577358924
housing/rent/apartment,1.0,1.0,Thumbnail,800,800,Monthly,250,Englewood,CO,396169.0,-1049190.0,1577359189
housing/rent/apartment,1.0,1.0,Thumbnail,800,800,Monthly,250,Potomac,MD,390287.0,-772409.0,1577359232
housing/rent/apartment,1.0,1.0,Thumbnail,800,800,Monthly,250,Deltona,FL,289050.0,-812156.0,1577359129
housing/rent/apartment,1.0,1.0,Thumbnail,800,800,Monthly,250,Lodi,CA,381255.0,-1212878.0,1577359136
housing/rent/apartment,1.0,1.0,Thumbnail,800,800,Monthly,250,Jacksonville,FL,302989.0,-816324.0,1577014825
housing/rent/apartment,1.0,1.0,Thumbnail,795,795,Monthly,250,Parker,CO,394904.0,-1047265.0,1577359188
housing/rent/apartment,1.0,1.0,Thumbnail,785,785,Monthly,250,Fountain,CO,386968.0,-1046969.0,1577359135
housing/rent/apartment,1.0,1.0,Thumbnail,785,785,Monthly,250,Fort Collins,CO,405649.0,-1050824.0,1577358930
housing/rent/apartment,1.0,1.0,Thumbnail,760,760,Monthly,250,Loveland,CO,404067.0,-1050984.0,1577358930
housing/rent/apartment,1.0,1.0,Thumbnail,755,755,Monthly,250,Longwood,FL,287026.0,-813885.0,1577359122
housing/rent/apartment,1.0,1.0,Thumbnail,755,755,Monthly,250,Bear,DE,396103.0,-756896.0,1577358946
housing/rent/apartment,1.0,1.0,Thumbnail,755,755,Monthly,250,Hummelstown,PA,402776.0,-767088.0,1577358630
housing/rent/apartment,1.0,1.0,Thumbnail,750,750,Monthly,250,Riverside,CA,339450.0,-1174074.0,1577359206
housing/rent/apartment,1.0,1.0,Thumbnail,750,750,Monthly,250,Port Saint Lucie,FL,272897.0,-803421.0,1577359020
housing/rent/apartment,1.0,1.0,Thumbnail,750,750,Monthly,250,Germantown,MD,391774.0,-772569.0,1577359252
housing/rent/apartment,1.0,1.0,Thumbnail,750,750,Monthly,250,Charlotte,NC,352016.0,-808124.0,1576666455
housing/rent/apartment,1.0,1.0,Thumbnail,725,725,Monthly,250,Nashville,TN,361370.0,-867830.0,1577359105
housing/rent/apartment,1.0,1.0,Thumbnail,725,725,Monthly,250,Hiram,GA,338691.0,-847686.0,1577015201
housing/rent/apartment,1.0,1.0,Thumbnail,720,720,Monthly,250,Converse,TX,294782.0,-982759.0,1577359126
housing/rent/apartment,1.0,1.0,Thumbnail,705,705,Monthly,250,Houston,TX,297714.0,-954343.0,1577359260
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,250,Apache Junction,AZ,334234.0,-1115415.0,1577359294
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,250,Austin,TX,303054.0,-977497.0,1577359117
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,250,Broomfield,CO,399156.0,-1050876.0,1577358923
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,250,Scottsdale,AZ,335783.0,-1118902.0,1577359295
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,250,Orlando,FL,285163.0,-813644.0,1577359121
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,250,Baltimore,MD,393191.0,-766126.0,1577015367
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,250,Centennial,CO,396041.0,-1048594.0,1577015096
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,250,Lakewood,CO,396894.0,-1051119.0,1577015096
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,250,Kyle,TX,300066.0,-978071.0,1577015019
housing/rent/apartment,1.0,0.0,Thumbnail,695,695,Monthly,250,Cedar Falls,IA,425286.0,-924509.0,1577358970
housing/rent/apartment,1.0,1.0,Thumbnail,695,695,Monthly,250,Summit,IL,417834.0,-878099.0,1577015589
housing/rent/apartment,1.0,1.0,Thumbnail,685,685,Monthly,250,Columbia,SC,340505.0,-810098.0,1577359144
housing/rent/apartment,1.0,1.0,Thumbnail,685,685,Monthly,250,Phoenix,AZ,335178.0,-1120848.0,1577015542
housing/rent/apartment,1.0,1.0,Thumbnail,675,675,Monthly,250,Houston,TX,297714.0,-954343.0,1577015328
housing/rent/apartment,1.0,1.0,Thumbnail,675,675,Monthly,250,Coon Rapids,MN,451748.0,-933109.0,1575638484
housing/rent/apartment,1.0,1.0,Thumbnail,660,660,Monthly,250,Phoenix,AZ,335178.0,-1120848.0,1577015549
housing/rent/apartment,1.0,1.0,Thumbnail,650,650,Monthly,250,Baltimore,MD,393191.0,-766126.0,1577359203
housing/rent/apartment,1.0,1.0,Thumbnail,650,650,Monthly,250,Salem,OR,449545.0,-1230072.0,1577359002
housing/rent/apartment,1.0,1.0,Thumbnail,650,650,Monthly,250,Chiefland,FL,294832.0,-828641.0,1577358919
housing/rent/apartment,1.0,1.0,Thumbnail,650,650,Monthly,250,San Antonio,TX,294624.0,-985253.0,1577014919
housing/rent/apartment,1.0,1.0,Thumbnail,650,650,Monthly,250,Antioch,TN,360402.0,-866385.0,1577014855
housing/rent/apartment,1.0,1.0,Thumbnail,645,645,Monthly,250,Surfside Beach,SC,336285.0,-789873.0,1577359007
housing/rent/apartment,1.0,1.0,Thumbnail,645,645,Monthly,250,Charlotte,NC,352016.0,-808124.0,1576666471
housing/rent/apartment,1.0,1.0,Thumbnail,625,625,Monthly,250,Venice,FL,270717.0,-823833.0,1577359138
housing/rent/apartment,1.0,1.0,Thumbnail,610,610,Monthly,250,Phoenix,AZ,335178.0,-1120848.0,1577015550
housing/rent/apartment,1.0,1.0,Thumbnail,600,600,Monthly,250,Spring Hill,FL,284730.0,-825474.0,1577358940
housing/rent/apartment,1.0,1.0,Thumbnail,600,600,Monthly,250,Tucson,AZ,322264.0,-1109438.0,1577359177
housing/rent/apartment,1.0,1.0,Thumbnail,600,600,Monthly,250,Dunwoody,GA,339369.0,-843060.0,1577359225
housing/rent/apartment,1.0,1.0,Thumbnail,600,600,Monthly,250,Santa Cruz,CA,369873.0,-1220160.0,1577358918
housing/rent/apartment,1.0,1.0,Thumbnail,600,600,Monthly,250,Tampa,FL,280076.0,-824792.0,1577015248
housing/rent/apartment,1.0,1.0,Thumbnail,600,600,Monthly,250,Houghton,MI,471165.0,-885631.0,1577017139
housing/rent/apartment,1.0,1.0,Thumbnail,600,600,Monthly,250,Raleigh,NC,358230.0,-786438.0,1577015762
housing/rent/apartment,1.0,1.0,Thumbnail,595,595,Monthly,250,New Canton,VA,376465.0,-782899.0,1577358867
housing/rent/apartment,1.0,1.0,Thumbnail,580,580,Monthly,250,Vero Beach,FL,276361.0,-804261.0,1577358942
housing/rent/apartment,1.0,1.0,Thumbnail,575,575,Monthly,250,Coatesville,PA,399849.0,-758127.0,1577359007
housing/rent/apartment,1.0,1.0,Thumbnail,575,575,Monthly,250,Winter Springs,FL,286810.0,-812808.0,1577014894
housing/rent/apartment,1.0,1.0,Thumbnail,550,550,Monthly,250,Clarksville,MD,392019.0,-769510.0,1577359203
housing/rent/apartment,1.0,1.0,Thumbnail,550,550,Monthly,250,Springfield,VA,387701.0,-772263.0,1577359287
housing/rent/apartment,1.0,1.0,Thumbnail,500,500,Monthly,250,Little River,SC,338829.0,-786369.0,1577359006
housing/rent/apartment,1.0,1.0,Thumbnail,500,500,Monthly,250,Bacliff,TX,295056.0,-949889.0,1577359258
housing/rent/apartment,1.0,1.0,Thumbnail,500,500,Monthly,250,Paulden,AZ,348856.0,-1124675.0,1577358597
housing/rent/apartment,1.0,1.0,Thumbnail,499,499,Monthly,250,Frankfort,KY,382006.0,-849469.0,1577358627
housing/rent/apartment,1.0,1.0,Thumbnail,495,495,Monthly,250,Phoenix,AZ,335178.0,-1120848.0,1577015536
housing/rent/apartment,1.0,1.0,Thumbnail,200,200,Monthly,250,Mount Airy,MD,393903.0,-771487.0,1577015099
housing/rent/apartment,1.0,0.0,Thumbnail,1325,1.325,Monthly,253,Seattle,WA,476160.0,-1223275.0,1577360339
housing/rent/apartment,1.0,0.0,Thumbnail,1400,1.4,Monthly,255,Kirkland,WA,477046.0,-1221989.0,1577360324
housing/rent/apartment,1.0,0.0,Thumbnail,1995,1.995,Monthly,258,San Francisco,CA,377599.0,-1224379.0,1577358513
housing/rent/apartment,1.0,1.0,Thumbnail,710,710,Monthly,265,Madison,WI,430724.0,-894003.0,1577358725
housing/rent/apartment,1.0,1.0,Thumbnail,1659,1.659,Monthly,272,Washington,DC,389118.0,-770132.0,1577358754
housing/rent/apartment,1.0,1.0,Thumbnail,1600,1.6,Monthly,272,San Leandro,CA,377078.0,-1221435.0,1577359208
housing/rent/apartment,1.0,1.0,Thumbnail,850,850,Monthly,273,Bloomington,IN,391471.0,-865136.0,1577359051
housing/rent/apartment,1.0,0.0,Thumbnail,1900,1.9,Monthly,275,Corona Del Mar,CA,336019.0,-1178637.0,1577016114
housing/rent/apartment,1.0,1.0,Thumbnail,1505,1.505,Monthly,275,Los Angeles,CA,340372.0,-1182972.0,1576666500
housing/rent/apartment,1.0,1.0,Thumbnail,900,900,Monthly,275,Gilbert,AZ,333423.0,-1117755.0,1577015539
housing/rent/apartment,1.0,0.0,Thumbnail,892,892,Monthly,275,Chicago,IL,418625.0,-876825.0,1577359302
housing/rent/apartment,1.0,1.0,Yes,705,705,Monthly,275,Cincinnati,OH,391263.0,-845172.0,1568768104
housing/rent/apartment,1.0,1.0,Thumbnail,1240,1.24,Monthly,280,Oxon Hill,MD,388077.0,-769886.0,1577359251
housing/rent/apartment,1.0,1.0,Thumbnail,870,870,Monthly,285,Anchorage,AK,611723.0,-1498414.0,1577360387
housing/rent/apartment,1.0,0.0,Thumbnail,1095,1.095,Monthly,286,Chicago,IL,418625.0,-876825.0,1577360156
housing/rent/apartment,1.0,0.0,Thumbnail,1350,1.35,Monthly,288,Seattle,WA,476160.0,-1223275.0,1577360185
housing/rent/apartment,1.0,1.0,Yes,865,865,Monthly,288,Oakdale,PA,403911.0,-801989.0,1568777542
housing/rent/apartment,1.0,1.0,Thumbnail,690,690,Monthly,288,Tampa,FL,280076.0,-824792.0,1577015236
housing/rent/apartment,1.0,0.0,Thumbnail,1099,1.099,Monthly,290,Portland,OR,455091.0,-1226449.0,1577359880
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,290,Minneapolis,MN,449855.0,-933023.0,1576666463
housing/rent/apartment,1.0,0.0,Thumbnail,850,850,Monthly,296,Iowa City,IA,416595.0,-915350.0,1577359840
housing/rent/apartment,1.0,0.0,Thumbnail,2200,2.2,Monthly,300,Palo Alto,CA,374356.0,-1221340.0,1577360127
housing/rent/apartment,1.0,1.0,Yes,2112,2.112,Monthly,300,Ramsey,NJ,410591.0,-741452.0,1568781099
housing/rent/apartment,1.0,1.0,Yes,1868,1.868,Monthly,300,Monrovia,CA,341428.0,-1179996.0,1568779369
housing/rent/apartment,1.0,1.0,Yes,1785,1.785,Monthly,300,Farmington,CT,417277.0,-728374.0,1568777007
housing/rent/apartment,1.0,1.0,Thumbnail,1575,1.575,Monthly,300,Los Angeles,CA,340628.0,-1182754.0,1568758026
housing/rent/apartment,1.0,1.0,Yes,1534,1.534,Monthly,300,Gaithersburg,MD,391775.0,-771944.0,1568766195
housing/rent/apartment,1.0,1.0,Yes,1470,1.47,Monthly,300,Manchester,CT,417773.0,-725249.0,1568777135
housing/rent/apartment,1.0,1.0,Yes,1470,1.47,Monthly,300,Glen Burnie,MD,391627.0,-766354.0,1568775346
housing/rent/apartment,1.0,1.0,Yes,1470,1.47,Monthly,300,Columbia,MD,391723.0,-768514.0,1568774838
housing/rent/apartment,1.0,2.0,Thumbnail,1425,1.425,Monthly,300,Brooklyn,NY,406496.0,-739596.0,1577359277
housing/rent/apartment,1.0,1.0,Yes,1386,1.386,Monthly,300,Linthicum Heights,MD,392081.0,-766610.0,1568777995
housing/rent/apartment,1.0,0.0,Thumbnail,1195,1.195,Monthly,300,Seattle,WA,476160.0,-1223275.0,1577360005
housing/rent/apartment,1.0,1.0,Thumbnail,995,995,Monthly,300,Chicago,IL,419891.0,-876572.0,1577359553
housing/rent/apartment,1.0,0.0,Thumbnail,975,975,Monthly,300,Long Beach,CA,337815.0,-1181934.0,1568777618
housing/rent/apartment,1.0,1.0,Thumbnail,911,911,Monthly,300,Chicago,IL,418625.0,-876825.0,1577358589
housing/rent/apartment,1.0,0.0,Thumbnail,900,900,Monthly,300,Austin,TX,303054.0,-977497.0,1577017126
housing/rent/apartment,1.0,1.0,Thumbnail,800,800,Monthly,300,Fort Collins,CO,405649.0,-1050824.0,1577358930
housing/rent/apartment,1.0,1.0,Thumbnail,800,800,Monthly,300,Decatur,GA,337416.0,-842614.0,1577359226
housing/rent/apartment,1.0,1.0,Thumbnail,795,795,Monthly,300,Denver,CO,397360.0,-1049819.0,1577015008
housing/rent/apartment,1.0,1.0,Thumbnail,795,795,Monthly,300,Sarasota,FL,273181.0,-824987.0,1575418787
housing/rent/apartment,1.0,1.0,Thumbnail,775,775,Monthly,300,Milwaukee,WI,430531.0,-879659.0,1577015786
housing/rent/apartment,1.0,0.0,Thumbnail,760,760,Monthly,300,Chicago,IL,418625.0,-876825.0,1577359552
housing/rent/apartment,1.0,1.0,Thumbnail,750,750,Monthly,300,Wesley Chapel,FL,282300.0,-823055.0,1577015246
housing/rent/apartment,1.0,1.0,Thumbnail,725,725,Monthly,300,Tiverton,RI,416151.0,-711705.0,1577358646
housing/rent/apartment,1.0,1.0,Thumbnail,700,700,Monthly,300,Stockbridge,GA,335571.0,-842167.0,1577359227
housing/rent/apartment,1.0,1.0,Thumbnail,650,650,Monthly,300,Columbus,OH,399974.0,-829829.0,1577359330
